symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
TARKM,2023-09-12,2026-05-08,668,True,True,True
TATEN,2023-08-17,2026-05-08,685,True,True,True
TATGD,2021-01-06,2026-05-08,1336,True,True,True
TAVHL,2021-01-06,2026-05-08,1336,True,True,True
TBORG,2021-01-06,2026-05-08,1336,True,True,True
TCELL,2021-01-06,2026-05-08,1336,True,True,True
TCKRC,2024-08-21,2026-05-08,432,True,True,True
TDGYO,2021-01-06,2026-05-08,1335,True,True,True
TEHOL,2021-01-06,2026-05-08,1336,True,True,True
TEKTU,2021-01-06,2026-05-08,1336,True,True,True
TERA,2022-12-22,2026-05-08,844,True,True,True
TEZOL,2021-09-15,2026-05-08,1166,True,True,True
TGSAS,2021-01-06,2026-05-08,1336,True,True,True
THYAO,2021-01-06,2026-05-08,1336,True,True,True
TKFEN,2021-01-06,2026-05-08,1336,True,True,True
TKNSA,2021-01-06,2026-05-08,1336,True,True,True
TLMAN,2021-01-06,2026-05-08,1336,True,True,True
TMPOL,2021-01-06,2026-05-08,1336,True,True,True
